financial_year,port,million_tonnes,cargo_type
2008-09,Melbourne,17.342645805,Discharged
2009-10,Melbourne,17.30482799,Discharged
2010-11,Melbourne,18.420626296,Discharged
2011-12,Melbourne,19.26530651615,Discharged
2012-13,Melbourne,19.00125740326,Discharged
2013-14,Melbourne,19.31327340141,Discharged
2014-15,Melbourne,19.43886043673,Discharged
2015-16,Melbourne,19.80734729252,Discharged
2016-17,Melbourne,20.86661606852,Discharged
2017-18,Melbourne,22.83079007738,Discharged
2018-19,Melbourne,22.55851020527,Discharged
2019-20,Melbourne,22.09939970786,Discharged
2020-21,Melbourne,23.06399596062,Discharged
1995-96,Brisbane,9.4010412,Discharged
1996-97,Brisbane,9.6325004,Discharged
1997-98,Brisbane,11.424275,Discharged
1998-99,Brisbane,11.138184,Discharged
1999-00,Brisbane,12.262778,Discharged
2000-01,Brisbane,11.409369,Discharged
2001-02,Brisbane,11.672693,Discharged
2002-03,Brisbane,13.419508,Discharged
2003-04,Brisbane,13.1,Discharged
2004-05,Brisbane,13.914508,Discharged
2005-06,Brisbane,14.438991609999999,Discharged
2006-07,Brisbane,16.216550607,Discharged
2007-08,Brisbane,16.393044081,Discharged
2008-09,Brisbane,15.984821454999999,Discharged
2009-10,Brisbane,16.60139876,Discharged
2010-11,Brisbane,17.236232207,Discharged
2011-12,Brisbane,17.4263490843,Discharged
2012-13,Brisbane,18.32659336909,Discharged
2013-14,Brisbane,18.21956731626,Discharged
2014-15,Brisbane,17.85213432195,Discharged
2015-16,Brisbane,16.10692215576,Discharged
2016-17,Brisbane,17.20643545959,Discharged
2017-18,Brisbane,18.32828597141,Discharged
2018-19,Brisbane,19.52368122385,Discharged
2019-20,Brisbane,17.89444618224,Discharged
2020-21,Brisbane,16.23199346978,Discharged
1995-96,Adelaide,5.1997991,Discharged
1996-97,Adelaide,5.8324375999999996,Discharged
1997-98,Adelaide,6.2507673,Discharged
1998-99,Adelaide,5.4316528,Discharged
1999-00,Adelaide,5.8971125,Discharged
2000-01,Adelaide,5.7966902000000005,Discharged
2001-02,Adelaide,6.2151432,Discharged
2002-03,Adelaide,5.880262,Discharged
2003-04,Adelaide,4.9,Discharged
2004-05,Adelaide,5.147152599999999,Discharged
2005-06,Adelaide,6.3852939856,Discharged
2006-07,Adelaide,5.3143494141000005,Discharged
2007-08,Adelaide,5.993261264499999,Discharged
2008-09,Adelaide,5.037460029799999,Discharged
2009-10,Adelaide,5.5630211543,Discharged
2010-11,Adelaide,5.698736524,Discharged
2011-12,Adelaide,6.30676992679,Discharged
2012-13,Adelaide,6.38348365364,Discharged
2013-14,Adelaide,6.64561858348999,Discharged
2014-15,Adelaide,7.16174786397,Discharged
2015-16,Adelaide,6.77978517049,Discharged
2016-17,Adelaide,7.1276166192,Discharged
2017-18,Adelaide,7.06375051328,Discharged
2018-19,Adelaide,7.42977827104,Discharged
2019-20,Adelaide,6.99683612365,Discharged
2020-21,Adelaide,6.84022711675,Discharged
1995-96,Perth,8.440762699999999,Discharged
1996-97,Perth,9.9109141,Discharged
1997-98,Perth,9.2018762,Discharged
1998-99,Perth,9.200942099999999,Discharged
1999-00,Perth,9.125117900000001,Discharged
2000-01,Perth,8.9663544,Discharged
2001-02,Perth,10.10869,Discharged
2002-03,Perth,11.368277,Discharged
2003-04,Perth,11.6,Discharged
2004-05,Perth,11.9502696,Discharged
2005-06,Perth,11.085843545499998,Discharged
2006-07,Perth,12.4462698806,Discharged
2007-08,Perth,13.553244144699999,Discharged
2008-09,Perth,12.5137457143,Discharged
2009-10,Perth,12.119889581099999,Discharged
2010-11,Perth,12.9854868646,Discharged
2011-12,Perth,13.67565568236,Discharged
2012-13,Perth,13.9021649668,Discharged
2013-14,Perth,14.42281633035,Discharged
2014-15,Perth,15.17139660616,Discharged
2015-16,Perth,14.77414936214,Discharged
2016-17,Perth,14.631794692,Discharged
2017-18,Perth,14.55414029781,Discharged
2018-19,Perth,14.42610460818,Discharged
2019-20,Perth,14.58633889489,Discharged
2020-21,Perth,13.07880753412,Discharged
1995-96,Hobart,1.0551856000000002,Discharged
1996-97,Hobart,0.19852743,Discharged
1997-98,Hobart,1.053579,Discharged
1998-99,Hobart,0.7938989000000001,Discharged
1999-00,Hobart,0.94578796,Discharged
2000-01,Hobart,0.49787979,Discharged
2001-02,Hobart,1.1441217,Discharged
2002-03,Hobart,1.0046818,Discharged
2003-04,Hobart,1.0,Discharged
2004-05,Hobart,1.1085027,Discharged
2005-06,Hobart,1.0860464179799998,Discharged
2006-07,Hobart,1.11056861718,Discharged
2007-08,Hobart,1.15196336833,Discharged
2008-09,Hobart,1.09036175909,Discharged
2009-10,Hobart,0.98339796409,Discharged
2010-11,Hobart,1.07121298966,Discharged
2011-12,Hobart,0.93155137564,Discharged
2012-13,Hobart,1.00997616237,Discharged
2013-14,Hobart,0.9365579534,Discharged
2014-15,Hobart,0.9716410029,Discharged
2015-16,Hobart,1.19803015555,Discharged
2016-17,Hobart,0.9213736592,Discharged
2017-18,Hobart,0.951600493,Discharged
2018-19,Hobart,1.05967357559,Discharged
2019-20,Hobart,1.16891457148,Discharged
2020-21,Hobart,1.02821527631,Discharged
1995-96,Darwin,0.76114853,Discharged
1996-97,Darwin,0.77494007,Discharged
1997-98,Darwin,0.84634082,Discharged
1998-99,Darwin,0.92752064,Discharged
1999-00,Darwin,0.97809799,Discharged
2000-01,Darwin,1.0045885,Discharged
2001-02,Darwin,0.80706859,Discharged
2002-03,Darwin,0.73290574,Discharged
2003-04,Darwin,0.9951656000000001,Discharged
2004-05,Darwin,1.4412717,Discharged
2005-06,Darwin,1.9738750408,Discharged
2006-07,Darwin,5.2947513952,Discharged
2007-08,Darwin,5.4252936599999995,Discharged
2008-09,Darwin,6.1859905947,Discharged
2009-10,Darwin,5.3106539988,Discharged
2010-11,Darwin,6.066672453600001,Discharged
2011-12,Darwin,5.40370874143,Discharged
2012-13,Darwin,6.33453811849,Discharged
2013-14,Darwin,6.54826176724,Discharged
2014-15,Darwin,6.92420694369,Discharged
2015-16,Darwin,7.11929693608,Discharged
2016-17,Darwin,6.04629520798,Discharged
2017-18,Darwin,6.34138616134941,Discharged
2018-19,Darwin,6.07538476935059,Discharged
2019-20,Darwin,5.19304206194792,Discharged
2020-21,Darwin,5.89121151864298,Discharged
